X, Y, PathError, Steering, Velocity, Kp, Kd, Kdh, Ki
3.690000,2.750000,0.750067,0.053973,18.000000,0.150000,0.000000,0.001286,0.001500
3.690000,2.750000,0.750067,0.090809,18.000000,0.150000,0.000000,0.000429,0.003000
3.690000,2.750000,0.750067,0.060383,18.000000,0.150000,0.000000,0.000143,0.004500
3.700000,2.740000,0.740000,0.025133,18.000000,0.148000,0.000000,-0.076747,0.005980
3.740000,2.740000,0.741080,0.041445,18.000000,0.148000,0.000000,-0.025582,0.007460
3.800000,2.710000,0.710000,0.056202,18.000000,0.142000,0.000000,-0.053906,0.008880
3.830000,2.630000,0.630714,-0.129279,18.000000,0.126000,0.000000,-0.138396,0.010140
3.910000,2.550000,0.550091,-0.096636,18.000000,0.110000,0.000000,-0.122927,0.011240
3.990000,2.460000,0.460109,-1.179796,18.000000,0.092000,0.000000,-0.124751,0.012160
4.130000,2.340000,0.341321,-1.750784,18.000000,0.068000,0.000000,-0.111397,0.012840
4.280000,2.240000,0.240832,-1.914147,18.000000,0.048000,0.000000,-0.094728,0.013320
4.420000,2.110000,0.111803,-3.972883,18.000000,0.022000,0.000000,-0.104880,0.013540
4.590000,1.960000,0.041231,-5.790223,18.000000,-0.008000,-0.000000,-0.106518,0.013460
4.770000,1.790000,0.212132,-7.993639,18.000000,-0.042000,-0.000000,-0.110555,0.013040
4.950000,1.660000,0.343657,-8.799388,18.000000,-0.068000,-0.000000,-0.097938,0.012360
5.150000,1.490000,0.512445,-11.064919,18.000000,-0.102000,-0.000000,-0.102459,0.011340
5.360000,1.390000,0.611310,-10.867080,18.000000,-0.122000,-0.000000,-0.077786,0.010120
5.560000,1.250000,0.751066,-12.986086,18.000000,-0.150000,-0.000000,-0.085270,0.008620
5.770000,1.130000,0.870517,-14.103806,18.000000,-0.174000,-0.000000,-0.079038,0.006880
6.010000,1.020000,0.980051,-14.857590,18.000000,-0.196000,-0.000000,-0.068234,0.004920
6.250000,0.920000,1.081157,-15.720922,18.000000,-0.216000,-0.000000,-0.061142,0.002760
6.520000,0.840000,1.160172,-16.035135,18.000000,-0.232000,-0.000000,-0.048306,0.000440
6.780000,0.780000,1.220164,-16.217337,18.000000,-0.244000,-0.000000,-0.037046,-0.002000
7.020000,0.740000,1.260159,-16.305038,18.000000,-0.252000,-0.000000,-0.028057,-0.004520
7.290000,0.690000,1.310038,-16.956429,18.000000,-0.262000,-0.000000,-0.026805,-0.007140
