Autodrive, X, Y, Z, PosError, Heading, HError, Velocity, VError, GN, GE, Longitude, Latitude, Longitude Error, Latitude Error
1,509,150,0,298,5.995114,18.841310,1,1,-285303719,283196970,28.227660,-25.753104,298,621
1,510,151,0,303,-27.334962,33.701290,0,1,-285303720,283196970,28.227660,-25.753104,303,632
1,511,150,0,307,20.221679,81.897830,0,2,-285303720,283196969,28.227660,-25.753104,307,642
1,511,149,0,308,66.073893,12.247990,3,1,-285303720,283196968,28.227659,-25.753104,308,647
1,513,148,0,309,39.357964,11.032190,8,2,-285303721,283196966,28.227659,-25.753104,309,650
1,518,147,0,311,20.452655,2.575550,23,2,-285303724,283196962,28.227659,-25.753104,311,652
1,527,145,0,314,14.817552,2.415690,45,3,-285303730,283196955,28.227658,-25.753105,314,654
1,540,146,0,317,2.272517,2.679810,52,2,-285303741,283196948,28.227658,-25.753106,317,658
1,559,142,0,320,8.090839,1.658820,66,3,-285303753,283196933,28.227657,-25.753107,320,662
1,581,139,0,322,7.363613,3.176760,90,17,-285303769,283196918,28.227655,-25.753108,322,667
1,597,134,0,323,13.787871,4.699050,68,9,-285303779,283196904,28.227654,-25.753109,323,671
1,620,131,0,325,9.262624,1.331210,104,5,-285303795,283196887,28.227653,-25.753111,325,675
1,645,128,0,327,7.087541,3.622580,97,5,-285303813,283196870,28.227652,-25.753113,327,679
1,668,125,0,329,7.029180,4.750150,87,6,-285303830,283196853,28.227650,-25.753114,329,682
1,693,125,0,327,2.343060,2.806620,104,3,-285303849,283196838,28.227649,-25.753116,327,684
1,718,126,0,330,-0.552313,0.780870,117,2,-285303870,283196823,28.227648,-25.753118,330,686
1,740,128,0,332,-3.517438,2.541730,119,10,-285303889,283196812,28.227647,-25.753119,332,690
1,760,134,0,330,-11.839146,4.678450,110,4,-285303908,283196805,28.227647,-25.753121,330,691
1,786,136,0,333,-6.613049,2.274760,127,12,-285303930,283196790,28.227646,-25.753123,333,693
1,811,138,0,330,-4.871016,5.139780,96,8,-285303951,283196777,28.227645,-25.753125,330,693
1,831,142,0,331,-8.957005,5.522580,115,5,-285303969,283196767,28.227645,-25.753127,331,694
1,855,147,0,333,-10.319002,1.821110,124,5,-285303991,283196757,28.227644,-25.753128,333,695
1,883,151,0,335,-8.773001,2.620590,125,8,-285304016,283196743,28.227643,-25.753131,335,696
