X, Y, PathError, Steering, Velocity, Kp, Kd, Kdh, Ki
0.480000,1.560000,0.440454,-0.687506,30.000000,-0.088000,-0.000000,0.076881,-0.000880
0.480000,1.560000,0.440454,-3.674556,30.000000,-0.088000,-0.000000,0.025627,-0.001760
0.490000,1.600000,0.400125,3.259098,30.000000,-0.080000,-0.000000,0.139442,-0.002560
0.510000,1.600000,0.400125,-2.113030,30.000000,-0.080000,-0.000000,0.046481,-0.003360
0.530000,1.620000,0.381182,0.697177,30.000000,-0.076000,-0.000000,0.092288,-0.004120
0.590000,1.580000,0.420119,-6.634460,30.000000,-0.084000,-0.000000,-0.026833,-0.004960
0.730000,1.490000,0.510882,-9.899274,30.000000,-0.102000,-0.000000,-0.064795,-0.005980
0.980000,1.470000,0.530377,-8.114206,30.000000,-0.106000,-0.000000,-0.028580,-0.007040
1.270000,1.430000,0.570789,-8.246229,30.000000,-0.114000,-0.000000,-0.021744,-0.008180
1.610000,1.350000,0.650077,-9.706892,28.110001,-0.130000,-0.000000,-0.029937,-0.009480
2.000000,1.260000,0.740000,-10.879496,21.490002,-0.148000,-0.000000,-0.030923,-0.010960
2.440000,1.170000,0.830963,-11.924759,17.020000,-0.166000,-0.000000,-0.029506,-0.012620
2.900000,1.090000,0.910000,-12.718711,16.700001,-0.182000,-0.000000,-0.025543,-0.014440
3.330000,1.080000,0.920489,-12.063041,15.380001,-0.184000,-0.000000,-0.010260,-0.016280
3.760000,1.030000,0.970824,-12.955258,14.520000,-0.194000,-0.000000,-0.013892,-0.018220
4.170000,1.050000,0.950474,-12.104306,15.790001,-0.190000,-0.000000,-0.001140,-0.020120
4.530000,1.160000,0.840536,-9.296512,17.620001,-0.168000,-0.000000,0.027545,-0.021800
4.900000,1.390000,0.610000,-4.682959,16.130001,-0.122000,-0.000000,0.063287,-0.023020
5.190000,1.510000,0.490102,-3.581394,20.960001,-0.098000,-0.000000,0.059493,-0.024000
5.470000,1.630000,0.371214,-2.221155,22.140001,-0.074000,-0.000000,0.059974,-0.024740
5.730000,1.710000,0.291548,-1.928474,23.930000,-0.058000,-0.000000,0.049662,-0.025320
6.020000,1.770000,0.230868,-2.064221,23.400002,-0.046000,-0.000000,0.035753,-0.025780
6.330000,1.860000,0.143178,-0.814586,25.050001,-0.028000,-0.000000,0.039843,-0.026060
6.630000,1.960000,0.050000,0.604864,25.040001,-0.008000,-0.000000,0.044697,-0.026140
6.950000,2.040000,0.064031,1.218884,23.820002,0.008000,0.000000,0.039334,-0.026060
7.270000,2.120000,0.123693,2.046936,22.390001,0.024000,0.000000,0.037546,-0.025820
7.590000,2.190000,0.190263,2.636707,20.520000,0.038000,0.000000,0.033459,-0.025440
7.970000,2.210000,0.212132,1.911907,19.100000,0.042000,0.000000,0.016389,-0.025020
8.340000,2.250000,0.253180,2.372904,20.520000,0.050000,0.000000,0.015935,-0.024520
8.690000,2.270000,0.270185,2.324355,20.570002,0.054000,0.000000,0.010548,-0.023980
9.010000,2.290000,0.290172,2.483879,22.030001,0.058000,0.000000,0.008752,-0.023400
9.340000,2.340000,0.342345,3.561500,20.710001,0.068000,0.000000,0.016880,-0.022720
9.710000,2.370000,0.370135,3.702908,21.050001,0.074000,0.000000,0.012608,-0.021980
10.040000,2.330000,0.332415,2.200769,24.670000,0.066000,0.000000,-0.006269,-0.021320
10.380000,2.290000,0.290689,1.415105,21.410002,0.058000,0.000000,-0.012562,-0.020740
10.720000,2.260000,0.260768,1.080948,21.120001,0.052000,0.000000,-0.012914,-0.020220
11.070000,2.220000,0.222036,0.541067,20.110001,0.044000,0.000000,-0.014777,-0.019780
11.500000,2.320000,0.320000,3.588075,20.820002,0.064000,0.000000,0.017764,-0.019140
11.850000,2.270000,0.274591,1.567533,21.880001,0.054000,0.000000,-0.008041,-0.018600
12.200000,2.270000,0.270000,1.905631,20.560001,0.054000,0.000000,-0.002680,-0.018060
12.480000,2.240000,0.240832,1.091745,22.510000,0.048000,0.000000,-0.011365,-0.017580
12.790000,2.250000,0.250200,1.769113,24.040001,0.050000,0.000000,-0.002043,-0.017080
13.080000,2.190000,0.191050,0.081379,28.050001,0.038000,0.000000,-0.019880,-0.016700
13.300000,2.220000,0.220000,1.909711,30.000000,0.044000,0.000000,0.005591,-0.016260
13.530000,2.240000,0.241868,2.352845,30.000000,0.048000,0.000000,0.008845,-0.015780
13.860000,2.220000,0.223607,1.511023,26.240002,0.044000,0.000000,-0.002288,-0.015340
14.230000,2.190000,0.192354,0.876404,26.220001,0.038000,0.000000,-0.007744,-0.014960
14.690000,2.150000,0.150333,0.331021,17.890001,0.030000,0.000000,-0.009563,-0.014660
15.140000,2.080000,0.089443,-0.896690,16.730001,0.016000,0.000000,-0.017150,-0.014500
15.560000,2.050000,0.064031,-0.979646,16.000000,0.010000,0.000000,-0.012698,-0.014400
15.950000,2.030000,0.058309,-0.920362,15.760001,0.006000,0.000000,-0.007723,-0.014340
16.340000,1.970000,0.050000,-2.116338,15.150001,-0.006000,-0.000000,-0.016537,-0.014400
16.760000,1.970000,0.050000,-1.488106,16.180000,-0.006000,-0.000000,-0.005512,-0.014460
