Autodrive, X, Y, Z, PosError, Heading, HError, Velocity, VError, GN, GE, Longitude, Latitude, Longitude Error, Latitude Error
1,48,156,0,155,-29.366293,23.846110,1,1,-285303357,283197256,28.227680,-25.753071,155,180
1,48,156,0,155,-9.788764,21.520870,2,2,-285303357,283197256,28.227680,-25.753071,155,181
1,49,160,0,154,-53.262921,28.768940,1,2,-285303360,283197258,28.227681,-25.753072,154,180
1,51,160,0,153,-17.754307,7.153810,6,1,-285303362,283197257,28.227681,-25.753072,153,180
1,53,162,0,153,-35.251436,4.292340,17,1,-285303364,283197257,28.227681,-25.753072,153,180
1,59,158,0,162,10.249521,6.141600,37,5,-285303367,283197250,28.227680,-25.753072,162,180
1,73,149,0,165,24.749840,3.556710,69,4,-285303372,283197235,28.227679,-25.753073,165,180
1,98,147,0,164,10.916613,3.222210,100,5,-285303391,283197218,28.227677,-25.753075,164,179
1,127,143,0,165,8.305538,2.271350,134,6,-285303412,283197197,28.227676,-25.753076,165,179
1,161,135,0,165,11.435179,3.514670,156,6,-285303433,283197170,28.227673,-25.753078,165,179
1,200,126,0,168,11.811726,1.335860,184,3,-285303459,283197139,28.227671,-25.753081,168,179
1,244,117,0,169,11.270575,1.167990,199,3,-285303488,283197105,28.227668,-25.753083,169,179
1,290,109,0,166,9.756858,0.806480,194,2,-285303520,283197071,28.227665,-25.753086,166,178
1,333,108,0,163,3.918953,0.776670,194,2,-285303554,283197044,28.227663,-25.753089,163,178
1,376,103,0,163,5.306318,0.837530,192,2,-285303585,283197014,28.227661,-25.753092,163,178
1,417,105,0,165,0.435439,2.812670,181,7,-285303618,283196990,28.227659,-25.753095,165,178
1,453,116,0,167,-10.521520,3.925590,169,5,-285303653,283196977,28.227659,-25.753098,167,178
1,490,139,0,165,-24.173840,3.133290,173,6,-285303697,283196973,28.227659,-25.753102,165,177
1,519,151,0,164,-22.724613,2.406450,149,5,-285303727,283196965,28.227659,-25.753105,164,177
1,547,163,0,188,-22.908204,4.230640,144,7,-285303757,283196957,28.227659,-25.753107,188,178
1,573,171,0,191,-18.969401,5.005990,137,5,-285303782,283196948,28.227659,-25.753110,191,179
1,602,177,0,203,-13.656467,4.327300,141,4,-285303809,283196935,28.227658,-25.753112,203,179
1,633,186,0,161,-15.218822,3.929370,135,6,-285303839,283196923,28.227657,-25.753115,161,176
1,663,196,0,150,-17.072941,2.618120,137,8,-285303869,283196913,28.227657,-25.753117,150,175
1,695,204,0,142,-15.024314,2.615930,144,5,-285303899,283196899,28.227656,-25.753120,142,174
1,727,212,0,139,-14.341438,2.826170,151,5,-285303929,283196886,28.227656,-25.753123,139,172
1,759,219,0,135,-12.780479,3.973750,159,7,-285303959,283196872,28.227655,-25.753126,135,170
1,797,221,0,139,-6.260160,1.855520,164,4,-285303990,283196851,28.227654,-25.753128,139,168
1,834,225,0,148,-6.086720,1.901960,156,5,-285304022,283196831,28.227652,-25.753131,148,168
1,869,227,0,155,-4.028907,3.640830,155,6,-285304051,283196812,28.227651,-25.753134,155,170
1,901,229,0,158,-3.342969,2.617750,148,5,-285304078,283196794,28.227650,-25.753136,158,171
1,934,234,0,159,-6.447656,3.279830,154,5,-285304107,283196777,28.227649,-25.753139,159,173
1,971,237,0,159,-4.815885,3.645980,152,4,-285304138,283196757,28.227647,-25.753142,159,173
1,1004,233,0,162,2.394705,3.393970,136,6,-285304162,283196734,28.227646,-25.753144,162,172
1,1038,229,0,168,4.798235,3.169230,152,3,-285304186,283196710,28.227644,-25.753146,168,173
1,1072,226,0,156,4.932745,2.714860,153,4,-285304211,283196687,28.227642,-25.753148,156,170
1,1107,222,0,158,5.644248,3.224050,157,4,-285304237,283196663,28.227640,-25.753151,158,169
1,1150,232,0,154,-6.785251,3.235840,153,4,-285304277,283196644,28.227639,-25.753154,154,167
1,1185,227,0,156,3.071583,4.057720,148,5,-285304302,283196619,28.227637,-25.753156,156,166
1,1220,227,0,158,1.023861,4.373010,154,5,-285304329,283196598,28.227636,-25.753159,158,165
1,1248,224,0,152,4.341287,5.676500,145,8,-285304350,283196578,28.227634,-25.753161,152,164
1,1279,225,0,151,0.780429,2.452740,139,3,-285304375,283196560,28.227633,-25.753163,151,164
1,1308,219,0,306,7.593476,4.805500,123,5,-285304395,283196538,28.227631,-25.753165,306,323
1,1330,222,0,227,-2.135508,7.293880,113,7,-285304414,283196527,28.227630,-25.753166,227,247
1,1353,224,0,200,-3.378503,3.342190,121,4,-285304433,283196515,28.227629,-25.753168,200,228
1,1386,222,0,182,0.873832,3.907840,143,4,-285304458,283196493,28.227628,-25.753170,182,219
1,1423,219,0,174,2.957944,2.340580,144,4,-285304486,283196468,28.227626,-25.753173,174,210
1,1469,215,0,164,3.652648,2.554740,181,4,-285304520,283196437,28.227624,-25.753176,164,200
1,1514,208,0,167,6.550883,2.713960,182,4,-285304551,283196404,28.227621,-25.753179,167,193
1,1556,205,0,164,4.850294,2.906290,181,5,-285304583,283196376,28.227619,-25.753182,164,187
1,1595,203,0,160,2.950098,1.667270,178,3,-285304612,283196350,28.227617,-25.753184,160,182
1,1634,197,0,159,6.316699,1.906300,177,4,-285304639,283196322,28.227615,-25.753187,159,178
1,1676,197,0,154,2.105566,1.450710,169,3,-285304673,283196296,28.227613,-25.753190,154,175
