Autodrive, X, Y, Z, PosError, Heading, HError, Velocity, VError, GN, GE, Longitude, Latitude, Longitude Error, Latitude Error
1,815,183,0,111,34.000000,52.193460,1,3,-285302976,283197459,28.227693,-25.753037,111,173
1,815,184,0,110,34.000000,22.648520,2,1,-285302977,283197459,28.227693,-25.753037,110,173
1,815,183,0,110,34.000000,53.050390,0,1,-285302976,283197459,28.227693,-25.753037,110,173
1,814,184,0,110,34.000000,32.169850,3,1,-285302976,283197460,28.227693,-25.753037,110,173
1,815,184,0,110,34.000000,20.941630,6,2,-285302977,283197459,28.227693,-25.753037,110,173
1,821,185,0,110,208.000000,5.762600,30,3,-285302982,283197456,28.227692,-25.753038,110,173
1,833,186,0,110,224.000000,6.142180,45,3,-285302991,283197449,28.227692,-25.753038,110,172
1,846,192,0,114,214.000000,3.834600,70,3,-285303005,283197445,28.227692,-25.753040,114,188
1,864,196,0,129,212.000000,5.902790,92,8,-285303021,283197436,28.227691,-25.753041,129,204
1,882,198,0,129,216.000000,4.923940,90,6,-285303036,283197425,28.227690,-25.753043,129,220
1,901,199,0,134,212.000000,6.160800,77,5,-285303051,283197413,28.227690,-25.753044,134,253
1,916,203,0,138,206.000000,4.048060,72,3,-285303065,283197406,28.227689,-25.753045,138,290
1,927,207,0,136,221.000000,5.830610,62,4,-285303076,283197402,28.227689,-25.753046,136,259
1,938,211,0,134,211.000000,4.471240,67,6,-285303087,283197398,28.227689,-25.753047,134,240
1,951,211,0,132,230.000000,6.124410,61,5,-285303096,283197389,28.227688,-25.753048,132,227
1,964,213,0,130,223.000000,6.158230,62,4,-285303107,283197382,28.227688,-25.753049,130,219
1,979,213,0,130,220.000000,2.877320,68,3,-285303118,283197372,28.227687,-25.753050,130,214
1,995,217,0,125,208.000000,3.736200,70,3,-285303133,283197365,28.227687,-25.753051,125,202
1,1012,218,0,125,222.000000,3.814510,80,5,-285303146,283197354,28.227686,-25.753052,125,197
1,1028,220,0,131,216.000000,3.688360,76,5,-285303160,283197345,28.227685,-25.753054,131,199
1,1041,220,0,133,216.000000,3.899580,61,3,-285303170,283197336,28.227684,-25.753055,133,201
1,1055,220,0,134,220.000000,6.063950,64,6,-285303180,283197327,28.227684,-25.753055,134,203
1,1077,220,0,188,213.000000,4.978080,55,4,-285303196,283197312,28.227683,-25.753057,188,529
1,1091,222,0,147,213.000000,3.703650,62,3,-285303208,283197304,28.227682,-25.753058,147,412
1,1107,222,0,153,209.000000,10.452610,66,6,-285303220,283197294,28.227681,-25.753059,153,457
1,1125,225,0,167,221.000000,6.452190,79,7,-285303235,283197284,28.227681,-25.753061,167,524
1,1141,225,0,180,239.000000,5.353520,76,4,-285303247,283197273,28.227680,-25.753062,180,586
1,1148,238,0,168,198.000000,3.320360,69,3,-285303261,283197278,28.227681,-25.753063,168,516
1,1160,236,0,169,246.000000,5.766070,68,5,-285303269,283197269,28.227680,-25.753063,169,511
1,1172,239,0,186,223.000000,5.247480,62,3,-285303280,283197263,28.227679,-25.753064,186,565
1,1185,243,0,207,201.000000,7.850920,62,4,-285303292,283197257,28.227679,-25.753066,207,620
1,1199,245,0,223,217.000000,3.234370,69,2,-285303304,283197249,28.227679,-25.753067,223,670
1,1210,250,0,196,214.000000,9.213470,67,6,-285303315,283197246,28.227679,-25.753068,196,622
1,1226,252,0,205,209.000000,4.229390,73,3,-285303329,283197237,28.227678,-25.753069,205,665
1,1241,251,0,213,240.000000,4.967360,74,4,-285303339,283197226,28.227677,-25.753070,213,706
1,1256,252,0,222,216.000000,3.588940,69,2,-285303351,283197217,28.227676,-25.753071,222,747
1,1273,252,0,222,211.000000,8.550850,65,6,-285303364,283197205,28.227676,-25.753072,222,674
1,1284,250,0,241,214.000000,7.473290,52,3,-285303371,283197197,28.227675,-25.753073,241,686
1,1295,252,0,256,204.000000,5.594700,59,3,-285303381,283197191,28.227674,-25.753074,256,691
1,1312,249,0,271,245.000000,6.820990,72,7,-285303391,283197178,28.227673,-25.753075,271,699
1,1329,246,0,225,217.000000,4.840800,76,4,-285303402,283197164,28.227672,-25.753075,225,528
1,1344,251,0,206,198.000000,5.864120,73,4,-285303416,283197158,28.227672,-25.753077,206,456
1,1369,257,0,193,214.000000,4.643150,62,3,-285303439,283197145,28.227671,-25.753079,193,384
1,1383,256,0,190,210.000000,6.851390,62,3,-285303449,283197135,28.227670,-25.753080,190,365
1,1398,256,0,187,209.000000,5.003870,60,2,-285303460,283197126,28.227670,-25.753081,187,352
1,1411,256,0,185,209.000000,6.955260,67,4,-285303470,283197117,28.227669,-25.753082,185,375
1,1427,255,0,190,217.000000,6.828460,68,4,-285303481,283197106,28.227668,-25.753083,190,404
1,1443,259,0,185,243.000000,10.221830,78,7,-285303496,283197098,28.227668,-25.753084,185,434
1,1460,261,0,185,203.000000,5.387540,79,4,-285303509,283197088,28.227667,-25.753085,185,467
1,1474,264,0,192,215.000000,10.926820,71,6,-285303522,283197081,28.227666,-25.753086,192,501
1,1488,266,0,200,210.000000,7.084620,74,4,-285303534,283197073,28.227666,-25.753087,200,537
1,1501,263,0,203,202.000000,9.188660,63,5,-285303542,283197062,28.227665,-25.753088,203,572
1,1514,267,0,207,224.000000,12.217610,62,7,-285303554,283197056,28.227665,-25.753089,207,606
1,1526,265,0,209,205.000000,7.093540,58,4,-285303562,283197047,28.227664,-25.753090,209,638
1,1541,266,0,200,228.000000,5.920740,60,4,-285303573,283197038,28.227663,-25.753091,200,536
