Distance measured, Angle measured, Desired Angle, Steering Error, Actuator speed, Forward, Reverse
0.041626,0.021458,0.000000,-0.021458,0.000000,1,0
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
-0.121368,-0.062565,0.000000,0.062565,17.080359,0,1
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.080627,-0.041563,0.000000,0.041563,0.000000,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.080627,-0.041563,0.000000,0.041563,0.000000,0,1
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
0.082367,0.042460,0.000000,-0.042460,0.000000,1,0
0.041626,0.021458,0.000000,-0.021458,0.000000,1,0
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.121368,-0.062565,0.000000,0.062565,17.080359,0,1
0.082367,0.042460,0.000000,-0.042460,0.000000,1,0
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.080627,-0.041563,0.000000,0.041563,0.000000,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.080627,-0.041563,0.000000,0.041563,0.000000,0,1
0.041626,0.021458,0.000000,-0.021458,0.000000,1,0
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
0.082367,0.042460,0.000000,-0.042460,0.000000,1,0
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
-0.121368,-0.062565,0.000000,0.062565,17.080359,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.080627,-0.041563,0.000000,0.041563,0.000000,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.080627,-0.041563,0.000000,0.041563,0.000000,0,1
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
0.041626,0.021458,0.000000,-0.021458,0.000000,1,0
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
0.082367,0.042460,0.000000,-0.042460,0.000000,1,0
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
0.041626,0.021458,0.000000,-0.021458,0.000000,1,0
-0.121368,-0.062565,0.000000,0.062565,17.080359,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.121368,-0.062565,0.000000,0.062565,17.080359,0,1
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
0.082367,0.042460,0.000000,-0.042460,0.000000,1,0
-0.080627,-0.041563,0.000000,0.041563,0.000000,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
-0.121368,-0.062565,0.000000,0.062565,17.080359,0,1
-0.080627,-0.041563,0.000000,0.041563,0.000000,0,1
0.082367,0.042460,0.000000,-0.042460,0.000000,1,0
0.000885,0.000456,0.000000,-0.000456,0.000000,1,0
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
-0.080627,-0.041563,0.000000,0.041563,0.000000,0,1
0.082367,0.042460,0.000000,-0.042460,0.000000,1,0
-0.039856,-0.020546,0.000000,0.020546,0.000000,0,1
