X, Y, PathError, Steering, Velocity, Kp, Kd, Kdh, Ki
1.850000,2.100000,0.111803,-1.589540,30.000000,0.020000,0.000000,-0.047943,0.000200
1.850000,2.100000,0.111803,0.253195,30.000000,0.020000,0.000000,-0.015981,0.000400
1.850000,2.100000,0.111803,0.875079,30.000000,0.020000,0.000000,-0.005327,0.000600
1.860000,2.100000,0.107703,1.090014,30.000000,0.020000,0.000000,-0.001776,0.000800
1.870000,2.090000,0.094868,-3.346439,30.000000,0.018000,0.000000,-0.077386,0.000980
1.940000,2.070000,0.080623,-2.111659,30.000000,0.014000,0.000000,-0.051975,0.001120
2.090000,2.020000,0.022361,-2.497011,30.000000,0.004000,0.000000,-0.048741,0.001160
2.300000,1.930000,0.070000,-3.974585,30.000000,-0.014000,-0.000000,-0.056390,0.001020
2.590000,1.860000,0.140357,-3.938844,30.000000,-0.028000,-0.000000,-0.041486,0.000740
2.910000,1.760000,0.240208,-5.227621,28.820002,-0.048000,-0.000000,-0.043499,0.000260
3.300000,1.680000,0.320000,-5.619476,24.300001,-0.064000,-0.000000,-0.033698,-0.000380
3.700000,1.580000,0.420000,-6.926337,21.970001,-0.084000,-0.000000,-0.035667,-0.001220
4.120000,1.510000,0.490408,-7.322234,17.590000,-0.098000,-0.000000,-0.027597,-0.002200
4.550000,1.450000,0.552268,-7.718677,17.590000,-0.110000,-0.000000,-0.021416,-0.003300
4.980000,1.440000,0.560357,-7.179396,16.390001,-0.112000,-0.000000,-0.008884,-0.004420
5.380000,1.440000,0.560357,-6.904219,17.030001,-0.112000,-0.000000,-0.002961,-0.005540
5.770000,1.410000,0.590762,-7.602488,17.450001,-0.118000,-0.000000,-0.007968,-0.006720
6.140000,1.430000,0.571402,-6.834250,17.590000,-0.114000,-0.000000,0.002580,-0.007860
6.500000,1.470000,0.530000,-5.935160,18.540001,-0.106000,-0.000000,0.011332,-0.008920
6.830000,1.540000,0.460977,-4.518579,20.390001,-0.092000,-0.000000,0.022976,-0.009840
7.100000,1.680000,0.320000,-1.128583,20.240002,-0.064000,-0.000000,0.054783,-0.010480
7.460000,1.720000,0.282843,-2.194840,21.010000,-0.056000,-0.000000,0.028733,-0.011040
7.790000,1.730000,0.270185,-3.108701,23.050001,-0.054000,-0.000000,0.011323,-0.011580
8.090000,1.760000,0.240208,-2.724933,23.290001,-0.048000,-0.000000,0.012501,-0.012060
8.390000,1.820000,0.180277,-1.435511,22.380001,-0.036000,-0.000000,0.023366,-0.012420
8.710000,1.900000,0.100499,-0.022739,22.010000,-0.020000,-0.000000,0.032223,-0.012620
9.020000,2.100000,0.101980,4.249717,20.890001,0.020000,0.000000,0.066592,-0.012420
9.340000,2.180000,0.184391,4.043467,21.000000,0.036000,0.000000,0.046632,-0.012060
9.660000,2.240000,0.243311,3.977314,22.520000,0.048000,0.000000,0.032997,-0.011580
9.980000,2.240000,0.240832,2.744415,20.800001,0.048000,0.000000,0.010999,-0.011100
10.330000,2.210000,0.212132,1.604571,22.060001,0.042000,0.000000,-0.003315,-0.010680
10.650000,2.240000,0.245153,2.602469,22.810001,0.048000,0.000000,0.007622,-0.010200
11.000000,2.230000,0.230000,2.123108,20.200001,0.046000,0.000000,0.000795,-0.009740
11.330000,2.220000,0.222036,1.903352,21.370001,0.044000,0.000000,-0.001480,-0.009300
11.650000,2.200000,0.206155,1.453629,20.880001,0.040000,0.000000,-0.005729,-0.008900
12.000000,2.160000,0.160000,0.632445,20.560001,0.032000,0.000000,-0.012382,-0.008580
12.360000,2.130000,0.136015,0.376516,20.210001,0.026000,0.000000,-0.011109,-0.008320
12.700000,2.110000,0.110000,0.284252,22.360001,0.022000,0.000000,-0.008939,-0.008100
13.020000,2.100000,0.101980,0.422558,20.440001,0.020000,0.000000,-0.004725,-0.007900
13.360000,2.070000,0.080623,-0.232715,19.400002,0.014000,0.000000,-0.010302,-0.007760
13.700000,2.020000,0.020000,-1.209887,21.230001,0.004000,0.000000,-0.017397,-0.007720
14.030000,2.000000,0.030000,-1.074572,21.720001,0.000000,0.000000,-0.011035,-0.007720
14.370000,1.960000,0.050000,-1.716022,20.200001,-0.008000,-0.000000,-0.014150,-0.007800
14.700000,1.920000,0.080000,-2.243057,21.230001,-0.016000,-0.000000,-0.015189,-0.007960
15.020000,1.900000,0.101980,-2.203533,21.490002,-0.020000,-0.000000,-0.010299,-0.008160
15.340000,1.900000,0.107703,-1.821603,20.860001,-0.020000,-0.000000,-0.003433,-0.008360
15.700000,1.880000,0.120000,-2.233407,19.910002,-0.024000,-0.000000,-0.006380,-0.008600
16.030001,1.850000,0.152971,-2.850661,25.280001,-0.030000,-0.000000,-0.010853,-0.008900
16.360001,1.860000,0.145602,-2.237542,21.940001,-0.028000,-0.000000,-0.001872,-0.009180
16.690001,1.850000,0.150333,-2.397799,20.160002,-0.030000,-0.000000,-0.002369,-0.009480
17.020000,1.840000,0.161245,-2.540217,20.440001,-0.032000,-0.000000,-0.002535,-0.009800
17.379999,1.820000,0.181108,-2.993191,25.150002,-0.036000,-0.000000,-0.006081,-0.010160
17.709999,1.820000,0.180277,-2.781538,19.220001,-0.036000,-0.000000,-0.002027,-0.010520
18.059999,1.810000,0.194165,-2.940477,20.960001,-0.038000,-0.000000,-0.002421,-0.010900
18.389999,1.830000,0.170294,-2.338298,21.130001,-0.034000,-0.000000,0.004429,-0.011240
