Autodrive, X, Y, Z, PosError, Heading, HError, Velocity, VError, GN, GE, Longitude, Latitude, Longitude Error, Latitude Error
1,185,210,0,56,18.312758,43.926490,1,2,-285303499,283197215,28.227679,-25.753084,56,51
1,185,210,0,56,6.104253,44.605460,0,1,-285303499,283197215,28.227679,-25.753084,56,50
1,185,210,0,56,2.034751,21.989550,1,1,-285303499,283197215,28.227679,-25.753084,56,50
1,186,210,0,56,0.678250,8.050510,6,2,-285303499,283197214,28.227679,-25.753084,56,50
1,187,209,0,60,29.559417,3.434600,12,1,-285303500,283197213,28.227679,-25.753084,60,60
1,194,207,0,62,19.853139,2.714510,34,2,-285303504,283197207,28.227679,-25.753085,62,67
1,209,202,0,61,18.617713,1.269990,68,1,-285303512,283197194,28.227678,-25.753085,61,70
1,230,193,0,63,21.539238,2.241400,98,3,-285303524,283197174,28.227676,-25.753086,63,72
1,259,186,0,64,15.846413,1.805810,125,3,-285303542,283197151,28.227674,-25.753088,64,72
1,291,176,0,63,16.615471,1.485470,145,3,-285303562,283197123,28.227672,-25.753090,63,72
1,330,168,0,62,12.871824,1.041300,164,3,-285303588,283197093,28.227669,-25.753092,62,72
1,370,158,0,59,13.623941,1.540500,171,4,-285303613,283197061,28.227666,-25.753094,59,72
1,412,151,0,61,10.541314,1.175860,176,3,-285303643,283197030,28.227664,-25.753097,61,72
1,455,145,0,63,8.180438,3.062970,174,7,-285303673,283196999,28.227662,-25.753100,63,72
1,498,144,0,63,3.393479,0.996240,173,2,-285303707,283196972,28.227660,-25.753103,63,73
1,538,144,0,63,1.131160,1.643720,160,3,-285303738,283196947,28.227658,-25.753106,63,73
1,577,141,0,58,3.043720,1.720190,166,2,-285303767,283196921,28.227656,-25.753108,58,52
1,614,143,0,62,-0.985427,1.204150,162,2,-285303798,283196900,28.227654,-25.753111,62,60
1,650,147,0,63,-4.328476,2.103500,159,3,-285303829,283196882,28.227653,-25.753114,63,67
1,683,154,0,63,-8.776159,3.078100,155,5,-285303859,283196867,28.227652,-25.753117,63,71
1,710,168,0,61,-20.925386,2.415920,155,5,-285303889,283196862,28.227652,-25.753119,61,72
1,746,172,0,63,-10.975129,3.710010,151,7,-285303920,283196843,28.227651,-25.753122,63,73
1,779,173,0,63,-4.325043,6.425670,142,7,-285303947,283196824,28.227650,-25.753124,63,73
1,809,176,0,73,-4.775014,4.307330,142,4,-285303972,283196808,28.227649,-25.753127,73,76
1,839,182,0,74,-8.925005,4.735000,147,5,-285304000,283196794,28.227648,-25.753129,74,77
1,871,190,0,75,-12.308335,6.094940,149,5,-285304030,283196781,28.227647,-25.753132,75,77
1,902,210,0,166,-25.436112,4.873410,154,6,-285304067,283196778,28.227648,-25.753135,166,120
1,934,218,0,125,-17.812037,3.485250,153,5,-285304097,283196765,28.227647,-25.753138,125,102
1,966,224,0,113,-12.604012,2.226170,146,2,-285304126,283196750,28.227646,-25.753141,113,97
1,998,224,0,107,-4.201337,3.407730,154,4,-285304152,283196731,28.227645,-25.753143,107,91
1,1033,221,0,107,1.266221,5.970570,148,10,-285304177,283196707,28.227643,-25.753145,107,86
1,1065,224,0,64,-2.911260,6.878970,145,6,-285304205,283196690,28.227642,-25.753148,64,56
1,1100,223,0,63,-0.303753,3.006750,157,3,-285304232,283196668,28.227640,-25.753150,63,49
1,1133,222,0,62,0.565416,4.408960,151,4,-285304258,283196647,28.227639,-25.753152,62,47
1,1165,220,0,62,2.188472,3.272750,153,4,-285304282,283196626,28.227637,-25.753155,62,47
1,1200,216,0,62,4.729491,3.355650,154,4,-285304307,283196601,28.227635,-25.753157,62,47
1,1236,213,0,58,4.243164,3.981090,155,5,-285304334,283196577,28.227634,-25.753159,58,46
1,1270,211,0,57,3.414388,3.413750,145,3,-285304359,283196555,28.227632,-25.753162,57,45
1,1302,210,0,57,1.804796,3.236700,154,6,-285304384,283196534,28.227630,-25.753164,57,45
1,1336,207,0,57,3.934932,4.645280,158,6,-285304409,283196511,28.227629,-25.753166,57,45
1,1370,202,0,61,6.644977,1.225760,149,2,-285304433,283196487,28.227627,-25.753168,61,45
1,1403,200,0,61,4.214992,2.287820,147,3,-285304458,283196465,28.227625,-25.753170,61,45
1,1437,196,0,61,5.404997,1.888810,154,2,-285304483,283196441,28.227623,-25.753173,61,45
1,1470,192,0,61,5.801666,3.934260,149,4,-285304506,283196418,28.227621,-25.753175,61,45
1,1502,190,0,61,3.933889,4.202560,148,4,-285304531,283196397,28.227620,-25.753177,61,45
1,1534,190,0,60,1.311296,2.104600,151,2,-285304556,283196377,28.227618,-25.753179,60,45
1,1570,188,0,58,2.437099,3.073270,155,4,-285304583,283196354,28.227617,-25.753182,58,43
1,1603,185,0,58,4.145700,4.437730,131,7,-285304608,283196331,28.227615,-25.753184,58,42
1,1636,186,0,61,0.715233,2.606060,148,3,-285304634,283196312,28.227614,-25.753186,61,44
1,1669,185,0,67,0.905078,3.393630,156,4,-285304660,283196291,28.227612,-25.753189,67,46
1,1702,184,0,67,0.968359,4.463870,154,4,-285304686,283196270,28.227610,-25.753191,67,46
1,1738,182,0,62,2.322786,2.733290,133,3,-285304713,283196247,28.227609,-25.753193,62,46
1,1771,182,0,62,0.774262,2.888310,161,4,-285304739,283196226,28.227607,-25.753196,62,46
1,1806,181,0,62,0.924754,2.176450,152,2,-285304766,283196205,28.227606,-25.753198,62,46
1,1839,183,0,62,-1.691749,2.289830,151,2,-285304794,283196186,28.227604,-25.753201,62,46
